Nom,Note,Avis,Ville,Pays,Population ville,Population et périphérie
Steakhouse Las Malvinas,4,965,Berlin,Allemagne,3.755.251,4.890.363
Ristorante Bocca Felice,5,94,Berlin,Allemagne,3.755.251,4.890.363
Hugos Restaurant,4,363,Berlin,Allemagne,3.755.251,4.890.363
Bless Restaurant,5,158,Berlin,Allemagne,3.755.251,4.890.363
Kaefer - Dachgarten Restaurant,4,4175,Berlin,Allemagne,3.755.251,4.890.363
Factory Girl ,4,619,Berlin,Allemagne,3.755.251,4.890.363
Maximilians Berlin,4,3509,Berlin,Allemagne,3.755.251,4.890.363
Rotes Kamel Restaurant,5,225,Berlin,Allemagne,3.755.251,4.890.363
ZEN Restaurant,4,697,Berlin,Allemagne,3.755.251,4.890.363
Lia's Kitchen 100% Vegan,5,260,Berlin,Allemagne,3.755.251,4.890.363
Paris-Moskau,4,289,Berlin,Allemagne,3.755.251,4.890.363
Kobegyu Sumibiyaki Steak Ginza Fun,5,59,Tokyo,Japon,9.733.276,37.732.000
LUXE BURGERS & Sunny's Table,5,51,Tokyo,Japon,9.733.276,37.732.000
Sushi Koshikawa,5,371,Tokyo,Japon,9.733.276,37.732.000
Sushi Inase,5,140,Tokyo,Japon,9.733.276,37.732.000
Sushi Kenshin Ebisu Tokyo,5,148,Tokyo,Japon,9.733.276,37.732.000
Annam Indian Restaurant Ginza Tokyo,4,598,Tokyo,Japon,9.733.276,37.732.000
L’ATELIER et Brasserie ATOM Milano,5,340,Tokyo,Japon,9.733.276,37.732.000
MO-MO-PARADISE Shinjuku East Exit Store,5,318,Tokyo,Japon,9.733.276,37.732.000
Shinjuku Sushi Hatsume,5,282,Tokyo,Japon,9.733.276,37.732.000
Ebisu Sushi Hatsume,5,100,Tokyo,Japon,9.733.276,37.732.000
Savoy Kaminarimon store,5,161,Tokyo,Japon,9.733.276,37.732.000
GYOPAO Shinjuku East,5,433,Tokyo,Japon,9.733.276,37.732.000
Sushi to Oden & Nihonbashi Muromachi,5,89,Tokyo,Japon,9.733.276,37.732.000
Ueno Wagyu Yakiniku USHIHACHI Kiwami,5,164,Tokyo,Japon,9.733.276,37.732.000
Mo-mo-paradise Shibuya Center-gai,5,754,Tokyo,Japon,9.733.276,37.732.000
Dining Darts Bar Bee Shinjuku,5,150,Tokyo,Japon,9.733.276,37.732.000
Juicy Boiled Dumplings Gyobao Shinjuku Branch,5,1772,Tokyo,Japon,9.733.276,37.732.000
Beef Professional Ginza,5,99,Tokyo,Japon,9.733.276,37.732.000
Beef Professional Private Shinjuku Honten,5,170,Tokyo,Japon,9.733.276,37.732.000
SUSHI-YAMA Shinjuku,5,145,Tokyo,Japon,9.733.276,37.732.000
Beef Professional Akihabara,5,92,Tokyo,Japon,9.733.276,37.732.000
Niigata Yukimuro Jukusei Yakiniku Nikuine Roppongi,5,87,Tokyo,Japon,9.733.276,37.732.000
Menya NOBUNAGA Kyobashi,5,188,Tokyo,Japon,9.733.276,37.732.000
Oreno Kappou Ginza Washoku,4,82,Tokyo,Japon,9.733.276,37.732.000
The Butcher's Hook,4,282,Londres,Royaume-Uni,8.825.001,11.262.000
27 Old Compton Street - Pasta Bar,4,37,Londres,Royaume-Uni,8.825.001,11.262.000
Maroto Restaurant,5,183,Londres,Royaume-Uni,8.825.001,11.262.000
Sachi Bistro London By Fyome,5,117,Londres,Royaume-Uni,8.825.001,11.262.000
Bulls Head,4,804,Londres,Royaume-Uni,8.825.001,11.262.000
Rex Cross,5,158,Londres,Royaume-Uni,8.825.001,11.262.000
Kachori,5,354,Londres,Royaume-Uni,8.825.001,11.262.000
The India - Fleet Street,5,161,Londres,Royaume-Uni,8.825.001,11.262.000
Umu,4,701,Londres,Royaume-Uni,8.825.001,11.262.000
Pera Schnitzel Garden,5,731,Londres,Royaume-Uni,8.825.001,11.262.000
Vatavaran,5,87,Londres,Royaume-Uni,8.825.001,11.262.000
Uzumaki London,5,837,Londres,Royaume-Uni,8.825.001,11.262.000
Pravaas,5,107,Londres,Royaume-Uni,8.825.001,11.262.000
Five Bells,4,284,Londres,Royaume-Uni,8.825.001,11.262.000
Furongji,5,117,Pekin,Chine,21.893.095,18.522.000
Wan Li,5,644,Pekin,Chine,21.893.095,18.522.000
Daccapo (italian Steakhouse) At Regent Beijing,5,194,Pekin,Chine,21.893.095,18.522.000
BeiJing Haidilao Hot Pot - Wangfujing,5,639,Pekin,Chine,21.893.095,18.522.000
Little Yunnan (Market Branch),5,459,Pekin,Chine,21.893.095,18.522.000
Dadong Roast Duck (Nanxincang),4,2195,Pekin,Chine,21.893.095,18.522.000
White Chaco,4,58,Canberra,Australie,466.566,466.566
Capitol Bar & Grill,4,611,Canberra,Australie,466.566,466.566
The Italian Place Enoteca,5,155,Canberra,Australie,466.566,466.566
L'arte Della Pizza Tirana,5,156,Tirana,Albanie,418.495,418.495
Sugar,5,12,Tirana,Albanie,418.495,418.495
The Traditional Grill,5,125,Tirana,Albanie,418.495,418.495
Bar Restaurant Klei,5,70,Tirana,Albanie,418.495,418.495
Sheqer Pikant Liqeni,5,131,Tirana,Albanie,418.495,418.495
Il Paese 31,5,122,Tirana,Albanie,418.495,418.495
Trattoria Sheqer Pikant,5,122,Tirana,Albanie,418.495,418.495
Pizza Paris,5,75,Tirana,Albanie,418.495,418.495
Bosco Restaurant,5,119,Tirana,Albanie,418.495,418.495
Taverneta By Whisky,5,94,Tirana,Albanie,418.495,418.495
La Siciliana Restaurant,5,83,Tirana,Albanie,418.495,418.495
Brutal Restaurant,5,67,Tirana,Albanie,418.495,418.495
Agrodolce,5,1163,Rome,Italie,2.755.309,460.000
Ristorante Il Piccolo Mondo,5,2620,Rome,Italie,2.755.309,460.000
Prince of Wales,4,343,Londres,Royaume-Uni,8.825.001,11.262.000
Railway Bell,5,387,Londres,Royaume-Uni,8.825.001,11.262.000
The View 4109,5,128,Pekin,Chine,21.893.095,18.522.000
Rive Gauche,5,24,Pekin,Chine,21.893.095,18.522.000
The Lobby Lounge at The PuXuan Hotel and Spa,5,6,Pekin,Chine,21.893.095,18.522.000
Tak Yong Beijing Duck Wangfujing,5,1,Pekin,Chine,21.893.095,18.522.000
Briscola,4,258,Canberra,Australie,466.566,466.566
Monster Kitchen and Bar,4,952,Canberra,Australie,466.566,466.566
Rebel Rebel,4,85,Canberra,Australie,466.566,466.566
Amara Indian Restaurant,5,18,Canberra,Australie,466.566,466.566
Locale Pizzeria,4,205,Canberra,Australie,466.566,466.566
Gather Cafe,4,78,Canberra,Australie,466.566,466.566
Chifley's Bar & Grill,4,239,Canberra,Australie,466.566,466.566
Braddon Merchant,4,41,Canberra,Australie,466.566,466.566
Redsalt Restaurant,4,232,Canberra,Australie,466.566,466.566
Bar Beirut,5,16,Canberra,Australie,466.566,466.566
Atrium Restaurant and Bar,4,63,Canberra,Australie,466.566,466.566
Flui Restaurant - Canberra,5,9,Canberra,Australie,466.566,466.566
Kivotos Wine Bar,4,12,Canberra,Australie,466.566,466.566
No 10 Restaurant + Bar,4,82,Canberra,Australie,466.566,466.566
Bunny Beans Café - Kippax,4,21,Canberra,Australie,466.566,466.566
Restaurant Two14,5,5,Canberra,Australie,466.566,466.566
Fricken,4,11,Canberra,Australie,466.566,466.566
The George Bar & Grill,4,18,Canberra,Australie,466.566,466.566
Compa,3,14,Canberra,Australie,466.566,466.566
China Tea Club,3,74,Canberra,Australie,466.566,466.566
Ikigai Ramen,4,3,Canberra,Australie,466.566,466.566
Lighthouse Pub,3,68,Canberra,Australie,466.566,466.566
The Denman Kitchen,4,4,Canberra,Australie,466.566,466.566
Wineroom,5,1,Canberra,Australie,466.566,466.566
No.10 Restaurant + Bar Belconnen,3,7,Canberra,Australie,466.566,466.566
Kushi Izakaya,3,2,Canberra,Australie,466.566,466.566
The Valley Pub,1,1,Canberra,Australie,466.566,466.566
The Statesman Hotel - Policy Dining,2,6,Canberra,Australie,466.566,466.566
Brasserie Les Deux Palais,4,1235,Paris,France,2.133.111,10.890.751
99 Haussmann,5,72,Paris,France,2.133.111,10.890.751
Öz - Maitre Kebabier,5,23,Paris,France,2.133.111,10.890.751
Bustronome Paris,5,467,Paris,France,2.133.111,10.890.751
L'ARCHESTE,5,329,Paris,France,2.133.111,10.890.751
Etoile Gourmet,5,53,Paris,France,2.133.111,10.890.751
Come 'na Vorta - Pasta e Vino - Santa Dorotea,5,671,Rome,Italie,2.755.309,460.000
Osteria del Grillo,5,399,Rome,Italie,2.755.309,460.000
AquaLunae,5,736,Rome,Italie,2.755.309,460.000
Mastrociccia Osteria Pinseria,5,3135,Rome,Italie,2.755.309,460.000
Mahal Tanjore Prev. Thanjai Restaurant,5,184,Ottawa,Canada,1.153.843,1.476.756
Elgin Street Diner,4,911,Ottawa,Canada,1.153.843,1.476.756
Holy Crab,5,37,Helsinki,Finlande,674.500,674.500
Impasto Rosso,4,94,Berlin,Allemagne,3.755.251,4.890.363
Ristorante Mjalt,5,36,Berlin,Allemagne,3.755.251,4.890.363
Ore no Kappo Ginza Main branch,4,82,Tokyo,Japon,9.733.276,37.732.000
Wagyu Sukiyaki Goku Higashi Ginza Tsukiji,5,98,Tokyo,Japon,9.733.276,37.732.000
Old Dairy,5,41,Londres,Royaume-Uni,8.825.001,11.262.000
Angus Steakhouse Leicester Square,4,2402,Londres,Royaume-Uni,8.825.001,11.262.000
64 Old Compton Street,4,82,Londres,Royaume-Uni,8.825.001,11.262.000
Masons Arms,5,190,Londres,Royaume-Uni,8.825.001,11.262.000
The Old Fields,4,122,Londres,Royaume-Uni,8.825.001,11.262.000
Ti Amo - Place D'italie,4,50,Paris,France,2.133.111,10.890.751
Tira e Molla,5,6027,Rome,Italie,2.755.309,460.000
Ristorante Palmieri,5,640,Rome,Italie,2.755.309,460.000
Ravintola Karljohan,4,307,Helsinki,Finlande,674.500,674.500
Tokyo Sushi Bowl,5,107,Tokyo,Japon,9.733.276,37.732.000
Shibuya Pichiten,5,73,Tokyo,Japon,9.733.276,37.732.000
Rasoi Ghar,5,544,Londres,Royaume-Uni,8.825.001,11.262.000
